,apt_name,address
13344,정우,이촌동 302-69
13388,코스모스,이촌동 302-62
13403,남산맨션,한남동 726-74
13443,남산애지앙,후암동 1-10
13445,제일,후암동 438-7
13462,효창한신,효창동 5-145
13479,용산파크타워(24-0),용산동5가 24
13480,용산파크타워(24-1),용산동5가 24-1
13526,중앙하이츠(B),이촌동 300-261
13549,한남로얄팰리스,한남동 686-30
13552,오페라하우스WEST,한남동 665-2
13565,(42-17),동빙고동 42-17
13577,프리마베라빌,후암동 55-20
13609,이안용산1차(103동),문배동 11-29
13679,(124-12),이태원동 124-12
13684,로얄튼빌라,한남동 1-297
13710,두리파크빌,갈월동 6-48
13729,이안용산3차,문배동 40-39
13796,The Plus Ⅲ,이태원동 124-13
13815,트윈빌 비동,한남동 26-10
13843,금성,원효로3가 124-1
13960,이태원(이테크빌),이태원동 730
13994,카사빌라,보광동 35-5
14089,노들,이촌동 302-45
14122,트윈빌 에이동,한남동 26-5
14127,파인힐빌,동빙고동 1-72
14128,현대플래티앙1(1-67),동빙고동 1-67
14135,PRIMAVERA  VILL,주성동 43-21
14150,효창그린빌라트,효창동 11-168
14151,현대아트빌,효창동 5-11
14197,한강빌라,보광동 208-1
14361,브라운스톤남산,후암동 458
14450,(310-17),동빙고동 310-17
14538,효창아트빌2차,효창동 5-158
14596,한남동동원베네스트,한남동 522-1
14597,신성미소시티,한남동 96-3
14650,준아트빌,이태원동 124-1
14692,현대하이페리온II,한남동 550
14728,힐하우스,동빙고동 1-30
14765,후암,후암동 244-106
14808,효창파크푸르지오,효창동 274
14840,한강르네상스,서빙고동 241-47
14871,한강동부,이촌동 302-63
14979,창덕아파트,이태원동 252-1
15003,리첸시아용산,원효로1가 133-3
15146,중앙하이츠(A),이촌동 300-17
15197,행남그랜드,후암동 244-5
15452,용산e편한세상,신계동 48
15475,퀸스리버빌,이촌동 302-140
15602,리첸시아용산B,문배동 40-31
15704,효창PALACEVILLE,청파동3가 132-13
15711,효삼골드빌,효창동 3-3
15781,브라운스톤,용문동 90
15810,시범(중산1차),이촌동 211-2
15864,시티하우스,한강로3가 65-7
15937,퍼시픽맨션골드,이태원동 352
16219,(41-1),후암동 41-1
16280,한남파라곤,한남동 825
16388,미소가,후암동 55-24
16442,(1-35),한남동 1-35
16456,아인하우스,효창동 5-42
16630,프라임팰리스,문배동 24-8
16700,대성2차,용문동 38-235
16795,아스테리움 용산,한강로2가 419
16985,용산큐브,문배동 24-4
17310,센트레빌아스테리움서울,동자동 45
17321,효창,효창동 3-197
17516,한남더힐,한남동 810
17521,아울스스퀘어,한남동 4-18
17852,윌쏘나슈트,한남동 657-107
18201,명남아띠팰리스,후암동 244-90
18461,화인,후암동 244-99
18475,용산 더프라임,원효로1가 41
19640,용산KCC웰츠타워,문배동 11-10
19827,리버힐삼성(임대),산천동 194
20331,장미(203-14),이촌동 203-14
20371,래미안첼리투스아파트,이촌동 436
20575,혜당,후암동 244-143
20742,대성,신창동 77-27
23153,한남동UNVILLAGE루하우스,한남동 1-51
23609,한신무학,하왕십리동 990
23611,극동미라주,하왕십리동 1058
23612,금호베스트빌,하왕십리동 1052
23613,청계벽산,하왕십리동 258
23615,무학현대,하왕십리동 992
23618,풍림아이원,하왕십리동 1061
23624,홍익한신,홍익동 119-1
23625,청계대주파크빌,홍익동 53
23627,태성,마장동 829
23628,금호어울림,마장동 820
23630,대성유니드,마장동 825
23634,세림,마장동 784
23639,삼웅아파트 2동,마장동 778-2
23640,마장동중앙하이츠,마장동 819
23644,아트리움,마장동 768-1
23645,신명스카이뷰,마장동 830
23646,중앙하이츠,사근동 199
23647,벽산,사근동 314
23648,행당 한진타운,행당동 346
23649,행당한신,행당동 349
23651,대림e-편한세상,행당동 347
23681,이수 브라운스톤,행당동 364
23684,대림(2차),응봉동 97
23685,대림(1차),응봉동 100
23686,대림강변,응봉동 15
23688,동아리버그린,응봉동 276
23694,금호삼성래미안,금호동1가 1500
23696,신금호,금호동1가 128-5
23713,금호한신,금호동3가 1662
23714,대우,금호동4가 800
23715,롯데,금호동4가 1250
23721,극동,옥수동 428
23723,옥수하이츠,옥수동 100
23724,극동그린,옥수동 436
23725,동인샤인빌,옥수동 12
23730,경보이리스힐,옥수동 559
23731,한남하이츠,옥수동 220-1
23735,극동옥정,옥수동 557
23736,화이트캐슬,옥수동 436-6
23740,쌍용,성수동1가 706
23741,대림로즈빌,성수동1가 656-234
23743,강변동양,성수동1가 479-1
23749,대우2,성수동1가 709
23751,뚝섬현대,성수동1가 13-157
23760,우방,성수동1가 705
23761,우방2,성수동2가 286
23762,대우1,성수동2가 279-50
23763,신성미소지움,성수동2가 833
23764,이화101동,성수동2가 320-2
23766,강변현대,성수동2가 400
23767,롯데캐슬파크,성수동2가 835
23768,금강아미움,성수동2가 836
23786,드림,하왕십리동 890-115
23798,뉴타운,하왕십리동 887-2
23801,주암해븐,홍익동 366
23805,삼성쉐르빌,도선동 69
23850,삼부1,행당동 147
23885,금호현대,응봉동 98
23903,굿모닝하이츠,금호동1가 598-12
23910,금호1차푸르지오,금호동3가 917
23915,서울숲푸르지오,금호동4가 340
23944,중앙하이츠빌,성수동1가 715
23953,LIG건영,성수동1가 710
23959,청구강변1,성수동2가 712
23961,금호타운2,성수동2가 832
23962,현대I-PARK,성수동2가 834
23964,강변임광,성수동2가 609-2
23966,이화102동,성수동2가 320-6
23969,강변청구3,성수동2가 745
23974,건영,송정동 90
23977,YM프라젠,용답동 226-4
24103,한성,행당동 1-115
24247,한진타운,성수동1가 704
24261,태천해오름,성수동1가 717
24267,현대그린,성수동1가 33-2
24275,한신한강,성수동2가 442
24288,강변금호타운,성수동2가 830
24472,브라운스톤금호,금호동4가 1507
24501,금호,성수동1가 714
24510,서울숲한양현대,성수동1가 707
24518,신장미,성수동1가 656-421
24540,성수동두산위브,성수동2가 838
24590,한건토파즈빌,마장동 512-2
24717,레미테지,옥수동 220-2
24743,성수파크빌,성수동1가 685-191
24801,마장동 해맑은아파트,마장동 797-3
24834,다울아크로빌,행당동 347-4
24973,삼웅아파트 1동,마장동 778-1
25043,예건네스빌,옥수동 365-11
25057,로얄빌리지,송정동 72-25
25134,드림시드,사근동 198-1
25281,상기,금호동2가 500-7
25312,이테크빌,옥수동 558
25607,상왕아파트,하왕십리동 890-103
25646,우성포커스,행당동 1-4
25723,신금호두산위브,금호동1가 1818
25746,삼산금호,금호동4가 180
25789,벽산빌라트,옥수동 191-3
